airline_id,name,alias,code,callsign,country,active
1414,Bird Leasing,\N,BIR,BIRD AIR,United States,False
1415,Bizjet Ltd,\N,BIZ,BIZZ,United Kingdom,False
1416,Baja Air,\N,BJA,BAJA AIR,Mexico,False
1417,Baltic Jet Aircompany,\N,BJC,BALTIC JET,Latvia,False
1418,Business Jet Solutions,\N,BJS,SOLUTION,United States,False
1419,Bankair,\N,BKA,BANKAIR,United States,False
1420,BF-Lento OY,\N,BKF,BAKERFLIGHT,Finland,True
1421,Barken International,\N,BKJ,BARKEN JET,United States,False
1422,Bangkok Airways,\N,BKP,BANGKOK AIR,Thailand,True
1423,Bukovyna,\N,BKV,BUKOVYNA,Ukraine,False
1424,Blue Bird Aviation,\N,BLB,BLUEBIRD SUDAN,Sudan,False
1425,Bellesavia,\N,BLC,BELLESAVIA,Belarus,False
1426,Blue Line,\N,BLE,BLUE BERRY,France,False
1427,Blue1,\N,BLF,BLUEFIN,Finland,True
1428,Belgavia,\N,BLG,BELGAVIA,Belgium,False
1429,Blue Horizon Travel Club,\N,BLH,BLUE HORIZON,United States,False
1430,Blue Jet,\N,BLJ,BLUEWAY,Spain,False
1431,Baltic Airlines,\N,BLL,BALTIC AIRLINES,Russia,True
1432,Blue Airways,\N,BLM,BLUE ARMENIA,Armenia,False
1433,Bali International Air Service,\N,BLN,BIAR,Indonesia,False
1434,Bearskin Lake Air Service,\N,BLS,BEARSKIN,Canada,True
1435,Baltic Aviation,\N,BLT,BALTAIR,United States,False
1436,Bellview Airlines,\N,BLV,BELLVIEW AIRLINES,Nigeria,True
1437,bmi,bmi British Midland,BMA,MIDLAND,United Kingdom,True
1438,British Medical Charter,\N,BMD,BRITISH MEDICAL,United Kingdom,False
1439,Briggs Marine Environmental Services,\N,BME,BRIGGS,United Kingdom,False
1440,Bristow Masayu Helicopters,\N,BMH,MASAYU,Indonesia,False
1441,bmibaby,\N,BMI,BABY,United Kingdom,True
1442,Bemidji Airlines,\N,BMJ,BEMIDJI,United States,True
1443,Bismillah Airlines,\N,BML,BISMILLAH,Bangladesh,False
1444,Bowman Aviation,\N,BMN,BOWMAN,United States,False
1445,British Midland Regional,\N,BMR,,United Kingdom,True
1446,BMW,\N,BMW,BMW-FLIGHT,Germany,False
1447,Banco de Mexico,\N,BMX,BANXICO,Mexico,False
1448,Bond Offshore Helicopters,\N,BND,BOND,United Kingdom,False
