name,description,turbulence_category,designator,manufacturer,type,engine_count,engine_type
Venom,L1J,M,VNOM,F+W EMMEN,LandPlane,1,Jet
A-10 Thunderbolt 2,L2J,M,A10,FAIRCHILD (1),LandPlane,2,Jet
Argus,L1P,L,FA24,FAIRCHILD (1),LandPlane,1,Piston
C-26 Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
C-82 Packet,L2P,M,C82,FAIRCHILD (1),LandPlane,2,Piston
C-119 Flying Boxcar,L2P,M,C119,FAIRCHILD (1),LandPlane,2,Piston
C-123 Provider,L2P,M,C123,FAIRCHILD (1),LandPlane,2,Piston
Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
Expediter,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
F-18 Flymobil,G1P,L,UM18,FAIRCHILD (1),Gyrocopter,1,Piston
F-24 Argus,L1P,L,FA24,FAIRCHILD (1),LandPlane,1,Piston
F-27,L2T,M,F27,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
F-78 Flying Boxcar,L2P,M,C119,FAIRCHILD (1),LandPlane,2,Piston
F-78 Packet,L2P,M,C82,FAIRCHILD (1),LandPlane,2,Piston
Fairchild 300,L2T,L,SW3,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
FH-1100,H1T,L,FH11,FAIRCHILD (1),Helicopter,1,Turboprop/Turboshaft
Flying Boxcar,L2P,M,C119,FAIRCHILD (1),LandPlane,2,Piston
Flymobil,G1P,L,UM18,FAIRCHILD (1),Gyrocopter,1,Piston
Forwarder,L1P,L,FA24,FAIRCHILD (1),LandPlane,1,Piston
Heli-Porter,L1T,L,PC6T,FAIRCHILD (1),LandPlane,1,Turboprop/Turboshaft
M-62 Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
Merlin 3,L2T,L,SW3,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
Merlin 4,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
OA-10 Thunderbolt 2,L2J,M,A10,FAIRCHILD (1),LandPlane,2,Jet
Packet,L2P,M,C82,FAIRCHILD (1),LandPlane,2,Piston
PC-6 Heli-Porter,L1T,L,PC6T,FAIRCHILD (1),LandPlane,1,Turboprop/Turboshaft
Provider,L2P,M,C123,FAIRCHILD (1),LandPlane,2,Piston
PT-19 Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
PT-23 Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
PT-26 Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
R4Q Flying Boxcar,L2P,M,C119,FAIRCHILD (1),LandPlane,2,Piston
RC-26 Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227AC Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227AT Expediter,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227AT Merlin 4,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227BC Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227CC Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227DC Expediter,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227DC Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227PC Metro,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227TT Fairchild 300,L2T,L,SW3,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
SA-227TT Merlin 3,L2T,L,SW3,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
T-19 Cornell,L1P,L,FA62,FAIRCHILD (1),LandPlane,1,Piston
Thunderbolt 2,L2J,M,A10,FAIRCHILD (1),LandPlane,2,Jet
UC-26 Merlin 4,L2T,L/M,SW4,FAIRCHILD (1),LandPlane,2,Turboprop/Turboshaft
UC-61 Argus,L1P,L,FA24,FAIRCHILD (1),LandPlane,1,Piston
UC-61 Forwarder,L1P,L,FA24,FAIRCHILD (1),LandPlane,1,Piston
KR-34,L1P,L,KR34,FAIRCHILD (1),LandPlane,1,Piston
KR-31,L1P,L,KR31,FAIRCHILD (1),LandPlane,1,Piston
KR-21,L1P,L,KR21,FAIRCHILD (1),LandPlane,1,Piston
F-11 Husky,L1P,L,FA11,FAIRCHILD (2),LandPlane,1,Piston
Husky,L1P,L,FA11,FAIRCHILD (2),LandPlane,1,Piston
228,L2T,L,D228,FAIRCHILD DORNIER,LandPlane,2,Turboprop/Turboshaft
328,L2T,M,D328,FAIRCHILD DORNIER,LandPlane,2,Turboprop/Turboshaft
328JET,L2J,M,J328,FAIRCHILD DORNIER,LandPlane,2,Jet
328JET Envoy 3,L2J,M,J328,FAIRCHILD DORNIER,LandPlane,2,Jet
Envoy 3,L2J,M,J328,FAIRCHILD DORNIER,LandPlane,2,Jet
Metro,L2T,L/M,SW4,FAIRCHILD DORNIER,LandPlane,2,Turboprop/Turboshaft
SA-227DC Metro,L2T,L/M,SW4,FAIRCHILD DORNIER,LandPlane,2,Turboprop/Turboshaft
AU-23 Peacemaker,L1T,L,PC6T,FAIRCHILD HILLER,LandPlane,1,Turboprop/Turboshaft
E4,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
F-27,L2T,M,F27,FAIRCHILD HILLER,LandPlane,2,Turboprop/Turboshaft
FH-227,L2T,M,F27,FAIRCHILD HILLER,LandPlane,2,Turboprop/Turboshaft
FH-1100,H1T,L,FH11,FAIRCHILD HILLER,Helicopter,1,Turboprop/Turboshaft
Heli-Porter,L1T,L,PC6T,FAIRCHILD HILLER,LandPlane,1,Turboprop/Turboshaft
L3,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
L4,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
OH-23 Raven,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
PC-6 Heli-Porter,L1T,L,PC6T,FAIRCHILD HILLER,LandPlane,1,Turboprop/Turboshaft
Peacemaker,L1T,L,PC6T,FAIRCHILD HILLER,LandPlane,1,Turboprop/Turboshaft
Raven,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
SL3,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
SL4,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
UH-12E,H1P,L,UH12,FAIRCHILD HILLER,Helicopter,1,Piston
Expediter,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
Fairchild 300,L2T,L,SW3,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
Merlin 3,L2T,L,SW3,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
Merlin 4,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
Metro,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-226TB Merlin 3,L2T,L,SW3,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-226TC Metro,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227AC Metro,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227AT Expediter,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227AT Merlin 4,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227PC Metro,L2T,L/M,SW4,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227TT Fairchild 300,L2T,L,SW3,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
SA-227TT Merlin 3,L2T,L,SW3,FAIRCHILD SWEARINGEN,LandPlane,2,Turboprop/Turboshaft
Firefly,L1P,L,FFLY,FAIREY,LandPlane,1,Piston
Gannet,LCT,M,GANT,FAIREY,LandPlane,1,Turboprop/Turboshaft
Swordfish,L1P,L,SWOR,FAIREY,LandPlane,1,Piston
Linnet,L1P,L,CP30,FAIRTRAVEL,LandPlane,1,Piston
F-3,L1P,L,FJR3,FAJR,LandPlane,1,Piston
Furio,L1P,L,LN27,FALCOMPOSITE,LandPlane,1,Piston
LN-27 Furio,L1P,L,LN27,FALCOMPOSITE,LandPlane,1,Piston
Falcon 402,L1T,L,F402,FALCON AIR,LandPlane,1,Turboprop/Turboshaft
Falcon 421,L1T,L,F421,FALCON AIR,LandPlane,1,Turboprop/Turboshaft
AMF-S14 Maranda,L1P,L,RA14,FALCONAR,LandPlane,1,Piston
Cruiser,L1P,L,D11,FALCONAR,LandPlane,1,Piston
Cubmajor,L1P,L,MAJR,FALCONAR,LandPlane,1,Piston
F-11,L1P,L,D11,FALCONAR,LandPlane,1,Piston
F-11 Sporty,L1P,L,D11,FALCONAR,LandPlane,1,Piston
F-12 Cruiser,L1P,L,D11,FALCONAR,LandPlane,1,Piston
HM-380 Ladybug,L1P,L,HM38,FALCONAR,LandPlane,1,Piston
Ladybug,L1P,L,HM38,FALCONAR,LandPlane,1,Piston
Maranda,L1P,L,RA14,FALCONAR,LandPlane,1,Piston
Mustang,L1P,L,FS51,FALCONAR,LandPlane,1,Piston
SAL P-51D Mustang,L1P,L,FS51,FALCONAR,LandPlane,1,Piston
Sporty,L1P,L,D11,FALCONAR,LandPlane,1,Piston
K-209 KISS,H1T,L,K209,FAMA,Helicopter,1,Turboprop/Turboshaft
KISS,H1T,L,K209,FAMA,Helicopter,1,Turboprop/Turboshaft
Allegro,L1P,L,ALGR,FANTASY AIR,LandPlane,1,Piston
FG-01 Origan,L1P,L,FG01,FARIGOUX,LandPlane,1,Piston
Origan,L1P,L,FG01,FARIGOUX,LandPlane,1,Piston
F-1 Kestrel,L1T,L,KEST,FARNBOROUGH,LandPlane,1,Turboprop/Turboshaft
Kestrel,L1T,L,KEST,FARNBOROUGH,LandPlane,1,Turboprop/Turboshaft
Twinstar,G1P,L,TSTR,FARRINGTON,Gyrocopter,1,Piston
ArrowCopter,G1P,L,AC10,FD-COMPOSITES,Gyrocopter,1,Piston
Sirius,L1P,L,TR26,FEUGRAY,LandPlane,1,Piston
TR-200,L1P,L,TR20,FEUGRAY,LandPlane,1,Piston
TR-260 Sirius,L1P,L,TR26,FEUGRAY,LandPlane,1,Piston
AS-202-15 Bravo,L1P,L,AS02,FFA,LandPlane,1,Piston
AS-202-18 Bravo,L1P,L,AS02,FFA,LandPlane,1,Piston
AS-202-18 Wren,L1P,L,AS02,FFA,LandPlane,1,Piston
AS-202-26 Bravo,L1P,L,AS02,FFA,LandPlane,1,Piston
AS-202-32TP Turbine Bravo,L1T,L,AS2T,FFA,LandPlane,1,Turboprop/Turboshaft
Bravo,L1P,L,AS02,FFA,LandPlane,1,Piston
Turbine Bravo,L1T,L,AS2T,FFA,LandPlane,1,Turboprop/Turboshaft
Wren,L1P,L,AS02,FFA,LandPlane,1,Piston
Eurotrainer 2000,L1P,L,EURT,FFT,LandPlane,1,Piston
SC-01 Speed Canard,L1P,L,SC01,FFT,LandPlane,1,Piston
Speed Canard,L1P,L,SC01,FFT,LandPlane,1,Piston
G-46,L1P,L,G46,FIAT,LandPlane,1,Piston
G-59,L1P,L,G59,FIAT,LandPlane,1,Piston
G-91R,L1J,L,G91,FIAT,LandPlane,1,Jet
Fi-156 Storch,L1P,L,F156,FIESELER,LandPlane,1,Piston
Storch,L1P,L,F156,FIESELER,LandPlane,1,Piston
P-51,L1P,L,FE51,FIGHTER ESCORT WINGS,LandPlane,1,Piston
D,L1P,L,FIKD,FIKE,LandPlane,1,Piston
E,L1P,L,FIKE,FIKE,LandPlane,1,Piston
AW-139,H2T,L,A139,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-119 Koala,H1T,L,A119,FINMECCANICA,Helicopter,1,Turboprop/Turboshaft
Koala,H1T,L,A119,FINMECCANICA,Helicopter,1,Turboprop/Turboshaft
AW-189,H2T,M,A189,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-169,H2T,L,A169,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
ICH-47 Chinook,H2T,M,H47,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Chinook,H2T,M,H47,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-159 Lynx Wildcat,H2T,L,LYNX,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Lynx Wildcat,H2T,L,LYNX,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-159 Wildcat,H2T,L,LYNX,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Wildcat,H2T,L,LYNX,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-101,H3T,M,EH10,FINMECCANICA,Helicopter,3,Turboprop/Turboshaft
HH-101 Caesar,H3T,M,EH10,FINMECCANICA,Helicopter,3,Turboprop/Turboshaft
Caesar,H3T,M,EH10,FINMECCANICA,Helicopter,3,Turboprop/Turboshaft
AW-109 Power,H2T,L,A109,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
AW-109 GrandNew,H2T,L,A109,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Power,H2T,L,A109,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Falco,L1P,L,FLCO,FINMECCANICA,LandPlane,1,Piston
GrandNew,H2T,L,A109,FINMECCANICA,Helicopter,2,Turboprop/Turboshaft
Celebrity,L1P,L,CLBR,FISHER,LandPlane,1,Piston
Dakota Hawk,L1P,L,DAKH,FISHER,LandPlane,1,Piston
Horizon,L1P,L,HORZ,FISHER,LandPlane,1,Piston
R-80 Tiger Moth,L1P,L,TMOT,FISHER,LandPlane,1,Piston
RS-80 Tiger Moth,L1P,L,TMOT,FISHER,LandPlane,1,Piston
Tiger Moth,L1P,L,TMOT,FISHER,LandPlane,1,Piston
Celebrity,L1P,L,CLBR,FISHER AERO,LandPlane,1,Piston
Culex,L2P,L,CULX,FISHER AERO,LandPlane,2,Piston
Horizon,L1P,L,HORZ,FISHER AERO,LandPlane,1,Piston
Scooter,L1P,L,SCTR,FLAGLOR,LandPlane,1,Piston
FU-24,L1P,L,FU24,FLAIR,LandPlane,1,Piston
FA-01 Saphir,L1P,L,FA01,FLÄMING AIR,LandPlane,1,Piston
FA-01 Smaragd,L1P,L,FA01,FLÄMING AIR,LandPlane,1,Piston
FA-02 Smaragd VLA,L1P,L,FA02,FLÄMING AIR,LandPlane,1,Piston
FA-03 Smaragd TMG,L1P,L,FA03,FLÄMING AIR,LandPlane,1,Piston
Saphir,L1P,L,FA01,FLÄMING AIR,LandPlane,1,Piston
Smaragd,L1P,L,FA01,FLÄMING AIR,LandPlane,1,Piston
Smaragd TMG,L1P,L,FA03,FLÄMING AIR,LandPlane,1,Piston
Smaragd VLA,L1P,L,FA02,FLÄMING AIR,LandPlane,1,Piston
FA-04 Peregrine,L1P,L,FA04,FLÄMING AIR,LandPlane,1,Piston
Peregrine,L1P,L,FA04,FLÄMING AIR,LandPlane,1,Piston
LAR-1,L1J,L,LAR1,FLARIS,LandPlane,1,Jet
2,L1P,L,FLE2,FLEET,LandPlane,1,Piston
7,L1P,L,FLE7,FLEET,LandPlane,1,Piston
7 Fawn,L1P,L,FLE7,FLEET,LandPlane,1,Piston
10,L1P,L,FINC,FLEET,LandPlane,1,Piston
11,L1P,L,FINC,FLEET,LandPlane,1,Piston
16 Finch,L1P,L,FINC,FLEET,LandPlane,1,Piston
60 Fort,L1P,L,FORT,FLEET,LandPlane,1,Piston
80 Canuck,L1P,L,CNUK,FLEET,LandPlane,1,Piston
Canuck,L1P,L,CNUK,FLEET,LandPlane,1,Piston
Cornell,L1P,L,FA62,FLEET,LandPlane,1,Piston
Fawn,L1P,L,FLE7,FLEET,LandPlane,1,Piston
Finch,L1P,L,FINC,FLEET,LandPlane,1,Piston
Fort,L1P,L,FORT,FLEET,LandPlane,1,Piston
PT-23 Cornell,L1P,L,FA62,FLEET,LandPlane,1,Piston
PT-26 Cornell,L1P,L,FA62,FLEET,LandPlane,1,Piston
F-4 Sea Bird,A1P,L,FWSB,FLEETWINGS,Amphibian,1,Piston
Sea Bird,A1P,L,FWSB,FLEETWINGS,Amphibian,1,Piston
FU-24,L1P,L,FU24,FLETCHER,LandPlane,1,Piston
CT,L1P,L,FDCT,FLIGHT DESIGN,LandPlane,1,Piston
MC,L1P,L,FDMC,FLIGHT DESIGN,LandPlane,1,Piston
F-2,L1P,L,FDF2,FLIGHT DESIGN,LandPlane,1,Piston
F-2e,L1E,L,FD2E,FLIGHT DESIGN,LandPlane,1,Electric
KLA-100,L1P,L,KL10,FLIGHT DESIGN-VESSEL,LandPlane,1,Piston
Airtruk,L1P,L,PL12,FLIGHT ENGINEERS,LandPlane,1,Piston
PL-12 Airtruk,L1P,L,PL12,FLIGHT ENGINEERS,LandPlane,1,Piston
Capella,L1P,L,CAPL,FLIGHTWORKS,LandPlane,1,Piston
Flitzer,L1P,L,FLIZ,FLITZER,LandPlane,1,Piston
Z-1 Flitzer,L1P,L,FLIZ,FLITZER,LandPlane,1,Piston
Z-21 Flitzer,L1P,L,FLIZ,FLITZER,LandPlane,1,Piston
OA-7 Optica,L1P,L,OPCA,FLS,LandPlane,1,Piston
Optica,L1P,L,OPCA,FLS,LandPlane,1,Piston
Sprint,L1P,L,SAH1,FLS,LandPlane,1,Piston
Der Kricket,L1P,L,KRIC,FLSZ,LandPlane,1,Piston
DK-1 Der Kricket,L1P,L,KRIC,FLSZ,LandPlane,1,Piston
Fw-190 Replica,L1P,L,FW90,FLUG WERK,LandPlane,1,Piston
Storch,L1P,L,STCH,FLY SYNTHESIS,LandPlane,1,Piston
Texan,L1P,L,TEXA,FLY SYNTHESIS,LandPlane,1,Piston
Wallaby,L1P,L,WLBY,FLY SYNTHESIS,LandPlane,1,Piston
Syncro,L1P,L,SYNC,FLY SYNTHESIS,LandPlane,1,Piston
Catalina,A1P,L,CTLN,FLY SYNTHESIS,Amphibian,1,Piston
Flyer SS,L1P,L,FLSS,FLYER,LandPlane,1,Piston
Flyer NG,L1P,L,FLSS,FLYER,LandPlane,1,Piston
Pelican,L1P,L,PELI,FLYER,LandPlane,1,Piston
LN-3 Seagull,A1P,L,LN3,FLYGFABRIKEN,Amphibian,1,Piston
Seagull,A1P,L,LN3,FLYGFABRIKEN,Amphibian,1,Piston
Tucano Replica,L1P,L,TUCR,FLYING LEGEND,LandPlane,1,Piston
Turbine Tucano Replica,L1T,L,TUCT,FLYING LEGEND,LandPlane,1,Turboprop/Turboshaft
Vampire,L1P,L,FM25,FLYING MACHINES,LandPlane,1,Piston
FM-250 Vampire,L1P,L,FM25,FLYING MACHINES,LandPlane,1,Piston
MD-3 Rider,L1P,L,MD3R,FLYITALIA,LandPlane,1,Piston
Rider,L1P,L,MD3R,FLYITALIA,LandPlane,1,Piston
FW-02 Flywhale,A1P,L,FW02,FLYWHALE,Amphibian,1,Piston
Flywhale,A1P,L,FW02,FLYWHALE,Amphibian,1,Piston
20 El Boyero,L1P,L,EBOY,FMA,LandPlane,1,Piston
El Boyero,L1P,L,EBOY,FMA,LandPlane,1,Piston
A-150,L1P,L,C150,FMA,LandPlane,1,Piston
A-182,L1P,L,C182,FMA,LandPlane,1,Piston
A-A150 Aerobat,L1P,L,C150,FMA,LandPlane,1,Piston
A-A188 AgTruck,L1P,L,C188,FMA,LandPlane,1,Piston
Aerobat,L1P,L,C150,FMA,LandPlane,1,Piston
AgTruck,L1P,L,C188,FMA,LandPlane,1,Piston
Fw-44 Stieglitz,L1P,L,FW44,FMA,LandPlane,1,Piston
IA-51 Tehuelche,L1P,L,IA51,FMA,LandPlane,1,Piston
IA-58 Pucará,L2T,L,IA58,FMA,LandPlane,2,Turboprop/Turboshaft
IA-63 Pampa,L1J,L,IA63,FMA,LandPlane,1,Jet
P-172,L1P,L,C172,FMA,LandPlane,1,Piston
Pampa,L1J,L,IA63,FMA,LandPlane,1,Jet
Pucará,L2T,L,IA58,FMA,LandPlane,2,Turboprop/Turboshaft
Stieglitz,L1P,L,FW44,FMA,LandPlane,1,Piston
Tehuelche,L1P,L,IA51,FMA,LandPlane,1,Piston
AT-63 Pampa,L1J,L,IA63,FMA,LandPlane,1,Jet
Qualt,L1P,L,QALT,FMP,LandPlane,1,Piston
Fw-44 Stieglitz,L1P,L,FW44,FOCKE-WULF,LandPlane,1,Piston
Fw-190 Replica,L1P,L,FW90,FOCKE-WULF,LandPlane,1,Piston
FWP-149,L1P,L,P149,FOCKE-WULF,LandPlane,1,Piston
Stieglitz,L1P,L,FW44,FOCKE-WULF,LandPlane,1,Piston
50,L2T,M,F50,FOKKER,LandPlane,2,Turboprop/Turboshaft
50 Fokker50Freighter,L2T,M,F50,FOKKER,LandPlane,2,Turboprop/Turboshaft
50 Maritime Enforcer,L2T,M,F50,FOKKER,LandPlane,2,Turboprop/Turboshaft
60,L2T,M,F60,FOKKER,LandPlane,2,Turboprop/Turboshaft
70,L2J,M,F70,FOKKER,LandPlane,2,Jet
100,L2J,M,F100,FOKKER,LandPlane,2,Jet
C-31 Friendship,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
D-7 Replica,L1P,L,D7,FOKKER,LandPlane,1,Piston
D-8 Replica,L1P,L,D8,FOKKER,LandPlane,1,Piston
Dr-1 Replica,L1P,L,DR1,FOKKER,LandPlane,1,Piston
F-16 Fighting Falcon,L1J,M,F16,FOKKER,LandPlane,1,Jet
F-27 Friendship,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
F-27 Maritime,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
F-27 Troopship,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
F-28 Fellowship,L2J,M,F28,FOKKER,LandPlane,2,Jet
Fellowship,L2J,M,F28,FOKKER,LandPlane,2,Jet
Fighting Falcon,L1J,M,F16,FOKKER,LandPlane,1,Jet
Fokker50Freighter,L2T,M,F50,FOKKER,LandPlane,2,Turboprop/Turboshaft
Friendship,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
Instructor,L1P,L,S11,FOKKER,LandPlane,1,Piston
Maritime,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
Maritime Enforcer,L2T,M,F50,FOKKER,LandPlane,2,Turboprop/Turboshaft
S-11 Instructor,L1P,L,S11,FOKKER,LandPlane,1,Piston
Super Universal,L1P,L,SUNV,FOKKER,LandPlane,1,Piston
Troopship,L2T,M,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
D-21 Replica,L1P,L,D21,FOKKER,LandPlane,1,Piston
Fo-144 Gnat,L1J,L,GNAT,FOLLAND,LandPlane,1,Jet
Gnat,L1J,L,GNAT,FOLLAND,LandPlane,1,Jet
4-AT Tri-Motor,L3P,L,TRIM,FORD,LandPlane,3,Piston
5-AT Tri-Motor,L3P,L,TRIM,FORD,LandPlane,3,Piston
Tri-Motor,L3P,L,TRIM,FORD,LandPlane,3,Piston
Aircoupe,L1P,L,ERCO,FORNAIRE,LandPlane,1,Piston
F-1 Aircoupe,L1P,L,ERCO,FORNAIRE,LandPlane,1,Piston
Aircoupe,L1P,L,ERCO,FORNEY,LandPlane,1,Piston
F-1 Aircoupe,L1P,L,ERCO,FORNEY,LandPlane,1,Piston
CM-170R Magister,L2J,L,FOUG,FOUGA,LandPlane,2,Jet
Magister,L2J,L,FOUG,FOUGA,LandPlane,2,Jet
100 Centennial,L1P,L,CENT,FOUND,LandPlane,1,Piston
Bush Hawk,L1P,L,FBA2,FOUND,LandPlane,1,Piston
Centennial,L1P,L,CENT,FOUND,LandPlane,1,Piston
FBA-2,L1P,L,FBA2,FOUND,LandPlane,1,Piston
FBA-2 Bush Hawk,L1P,L,FBA2,FOUND,LandPlane,1,Piston
FBA-2 Expedition E350,L1P,L,FBA2,FOUND,LandPlane,1,Piston
Expedition E350,L1P,L,FBA2,FOUND,LandPlane,1,Piston
FX-210,L1P,L,FW21,FOUR WINDS,LandPlane,1,Piston
RF-3,L1P,L,RF3,FOURNIER,LandPlane,1,Piston
RF-4,L1P,L,RF4,FOURNIER,LandPlane,1,Piston
RF-5,L1P,L,RF5,FOURNIER,LandPlane,1,Piston
RF-6,L1P,L,RF6,FOURNIER,LandPlane,1,Piston
RF-9,L1P,L,RF9,FOURNIER,LandPlane,1,Piston
RF-10,L1P,L,RF10,FOURNIER,LandPlane,1,Piston
RF-47,L1P,L,RF47,FOURNIER,LandPlane,1,Piston
TZ-5,L1P,L,RF5,FOURNIER,LandPlane,1,Piston
Terrier,L1P,L,TERR,FOXCON,LandPlane,1,Piston
G-73T Turbo Mallard,A2T,L,G73T,FRAKES,Amphibian,2,Turboprop/Turboshaft
G-164 Turbo Cat,L1T,L,G64T,FRAKES,LandPlane,1,Turboprop/Turboshaft
Mohawk 298,L2T,M,N262,FRAKES,LandPlane,2,Turboprop/Turboshaft
Turbo Cat,L1T,L,G64T,FRAKES,LandPlane,1,Turboprop/Turboshaft
Turbo Mallard,A2T,L,G73T,FRAKES,Amphibian,2,Turboprop/Turboshaft
Free Spirit,L1P,L,FREE,FREE SPIRIT,LandPlane,1,Piston
RC-412 Free Spirit,L1P,L,FREE,FREE SPIRIT,LandPlane,1,Piston
Phoenix,L1P,L,PHNX,FREEDOM,LandPlane,1,Piston
Air Shark,A1P,L,SHAK,FREEDOM MASTER,Amphibian,1,Piston
FM-2 Air Shark,A1P,L,SHAK,FREEDOM MASTER,Amphibian,1,Piston
Frontier MD-2,L1P,L,FRON,FRONTIER,LandPlane,1,Piston
Esprit,L1P,L,VF2,FRY,LandPlane,1,Piston
VF-2 Esprit,L1P,L,VF2,FRY,LandPlane,1,Piston
204,H1T,L,UH1,FUJI,Helicopter,1,Turboprop/Turboshaft
205,H1T,L,UH1,FUJI,Helicopter,1,Turboprop/Turboshaft
305 Bird Dog,L1P,L,O1,FUJI,LandPlane,1,Piston
Aero Subaru,L1P,L,SUBA,FUJI,LandPlane,1,Piston
AH-1 HueyCobra,H1T,L,HUCO,FUJI,Helicopter,1,Turboprop/Turboshaft
AH-64 Longbow Apache,H2T,M,H64,FUJI,Helicopter,2,Turboprop/Turboshaft
Bird Dog,L1P,L,O1,FUJI,LandPlane,1,Piston
FA-200 Aero Subaru,L1P,L,SUBA,FUJI,LandPlane,1,Piston
FA-300,L2P,L,RC70,FUJI,LandPlane,2,Piston
HueyCobra,H1T,L,HUCO,FUJI,Helicopter,1,Turboprop/Turboshaft
KM-2,L1P,L,KM2,FUJI,LandPlane,1,Piston
KM-2B Mentor,L1P,L,T34P,FUJI,LandPlane,1,Piston
KM-2D,L1T,L,T5,FUJI,LandPlane,1,Turboprop/Turboshaft
KM-2Kai,L1T,L,T5,FUJI,LandPlane,1,Turboprop/Turboshaft
L-19 Bird Dog,L1P,L,O1,FUJI,LandPlane,1,Piston
Longbow Apache,H2T,M,H64,FUJI,Helicopter,2,Turboprop/Turboshaft
Mentor,L1P,L,T34P,FUJI,LandPlane,1,Piston
T-1,L1J,L,T1,FUJI,LandPlane,1,Jet
T1F,L1J,L,T1,FUJI,LandPlane,1,Jet
